# Cleanup candidates (.tmp.driveupload older than 30 days)

FullName                                        SizeMB LastWriteTime
--------                                        ------ -------------
C:\Users\mana4\Desktop\.tmp.driveupload\3094393   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094547   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094417   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094483   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094437   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094543   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094513   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094463   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094495   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094449   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094369   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094551   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094441   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094365   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094421   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094377   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094457   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094539   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094405   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094527   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094523   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094471   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094507   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094467   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094487   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094517   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094379   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094425   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094361   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094413   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094401   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094453   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094409   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094433   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094531   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094491   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094389   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094407   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094479   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094555   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094511   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094373   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094475   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094459   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094445   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094519   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094429   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094503   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094499   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094397   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094385   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094535   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094757   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094427   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094689   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094709   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094717   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094383   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094821   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094587   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094751   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094673   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094685   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094745   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094677   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094807   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094639   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094831   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094609   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094805   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094643   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094817   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094789   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094769   0.01 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094601   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094809   0.00 2025/12/28 17:04:14
C:\Users\mana4\Desktop\.tmp.driveupload\3094621   0.01 2025/12/28 17:04:14
